bodyId,cell_type,kind,region,mean_rate,max_rate,rate_sd,fraction_frames_active,geometry_displayed
16497,MNml84,MN,T2,4.104137897491455,4.235065937042236,0.07337569445371628,1.0,True
16552,Fe reductor MN,MN,T2,0.0,0.0,0.0,0.0,True
16632,Acc. ti flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
16633,Fe reductor MN,MN,T3,0.0,0.0,0.0,0.0,True
16635,Ti flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
16658,ltm MN,MN,T1,0.0,0.0,0.0,0.0,True
16711,ltm2-femur MN,MN,T1,0.0,0.0,0.0,0.0,True
16897,Ta depressor MN,MN,T1,0.5241356492042542,0.6834889650344849,0.0998818576335907,0.0,True
16903,Acc. tr flexor MN,MN,T3,0.0,0.0,0.0,0.0,True
16963,Tr flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
17018,Acc. ti flexor MN,MN,T3,0.0,0.0,0.0,0.0,True
17036,MNml83,MN,T2,0.0,0.0,0.0,0.0,True
17050,ltm2-femur MN,MN,T1,0.0,0.0,0.0,0.0,True
17070,Acc. ti flexor MN,MN,T2,0.0,0.0,0.0,0.0,True
17091,Pleural remotor/abductor MN,MN,T2,0.0,0.0,0.0,0.0,True
17133,Ti flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
17137,Tr flexor MN,MN,T3,0.0,0.0,0.0,0.0,True
17176,Sternal anterior rotator MN,MN,T1,0.0,0.0,0.0,0.0,True
17226,Tr flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
17322,IN16B036,CPG,T2,9.398651123046875,24.593618392944336,7.6826043128967285,0.9436513899323816,True
17419,ltm2-femur MN,MN,T2,0.0,0.0,0.0,0.0,True
17550,ltm2-femur MN,MN,T2,0.0,0.0,0.0,0.0,True
17693,Acc. tr flexor MN,MN,T3,0.0,0.0,0.0,0.0,True
17697,MNml80,MN,T2,0.0,0.0,0.0,0.0,True
17761,MNhl87,MN,T3,0.0,0.0,0.0,0.0,True
17885,Acc. ti flexor MN,MN,T1,0.0,0.0,0.0,0.0,True
17905,MNhl88,MN,T3,0.0,0.0,0.0,0.0,True
17930,Tr extensor MN,MN,T2,0.0,0.0,0.0,0.0,True
17947,Sternal posterior rotator MN,MN,T3,0.0,0.0,0.0,0.0,True
17964,MNml79,MN,T2,0.0,0.0,0.0,0.0,True
17970,MNhl62,MN,T3,3.9984130859375,4.595599174499512,0.22181083261966705,1.0,True
18006,Sternotrochanter MN,MN,T1,0.0,0.0,0.0,0.0,True
